Id,Genre,Artist,Song,Listeners,URL
2019-04-16 22:49:11.880827_4,jazz,Amy Winehouse,Tears Dry on Their Own,855965,https://www.last.fm/music/Amy+Winehouse/_/Tears+Dry+on+Their+Own
2019-04-16 22:49:12.070389_5,jazz,Louis Armstrong,What A Wonderful World,769021,https://www.last.fm/music/Louis+Armstrong/_/What+A+Wonderful+World
2019-04-16 22:49:12.371625_6,jazz,Amy Winehouse,Love Is a Losing Game,768447,https://www.last.fm/music/Amy+Winehouse/_/Love+Is+a+Losing+Game
2019-04-16 22:49:12.525366_7,jazz,Duffy,Mercy,756712,https://www.last.fm/music/Duffy/_/Mercy
2019-04-16 22:49:12.682955_8,jazz,Norah Jones,Don't Know Why,746076,https://www.last.fm/music/Norah+Jones/_/Don%27t+Know+Why
2019-04-16 22:49:12.850864_9,jazz,Aretha Franklin,Respect,734443,https://www.last.fm/music/Aretha+Franklin/_/Respect
2019-04-16 22:49:13.153658_10,jazz,Radiohead,The National Anthem,733155,https://www.last.fm/music/Radiohead/_/The+National+Anthem
2019-04-16 22:49:13.312168_11,jazz,Norah Jones,Come Away with Me,699062,https://www.last.fm/music/Norah+Jones/_/Come+Away+with+Me
2019-04-16 22:49:13.601933_12,jazz,Amy Winehouse,Just Friends,649969,https://www.last.fm/music/Amy+Winehouse/_/Just+Friends
2019-04-16 22:49:13.762635_13,jazz,Ray Charles,Hit the Road Jack,644023,https://www.last.fm/music/Ray+Charles/_/Hit+the+Road+Jack
2019-04-16 22:49:13.926139_14,jazz,Amy Winehouse,Wake Up Alone,642295,https://www.last.fm/music/Amy+Winehouse/_/Wake+Up+Alone
2019-04-16 22:49:14.140470_15,jazz,Corinne Bailey Rae,Put Your Records On,626921,https://www.last.fm/music/Corinne+Bailey+Rae/_/Put+Your+Records+On
2019-04-16 22:49:14.360804_16,jazz,Amy Winehouse,He Can Only Hold Her,624751,https://www.last.fm/music/Amy+Winehouse/_/He+Can+Only+Hold+Her
2019-04-16 22:49:14.665409_17,jazz,Nina Simone,Feeling Good,794026,https://www.last.fm/music/Nina+Simone/_/Feeling+Good
2019-04-16 22:49:14.881495_18,jazz,Amy Winehouse,Some Unholy War,603783,https://www.last.fm/music/Amy+Winehouse/_/Some+Unholy+War
2019-04-16 22:49:15.188623_19,jazz,Miles Davis,So What,692645,https://www.last.fm/music/Miles+Davis/_/So+What
2019-04-16 22:49:15.419655_20,jazz,Norah Jones,Sunrise,557564,https://www.last.fm/music/Norah+Jones/_/Sunrise
2019-04-16 22:49:15.730708_21,jazz,Miles Davis,Blue in Green,529340,https://www.last.fm/music/Miles+Davis/_/Blue+in+Green
2019-04-16 22:49:15.964267_22,jazz,Norah Jones,Turn Me On,518083,https://www.last.fm/music/Norah+Jones/_/Turn+Me+On
2019-04-16 22:49:16.192084_23,jazz,Frank Sinatra,My Way,547449,https://www.last.fm/music/Frank+Sinatra/_/My+Way
2019-04-16 22:49:16.418018_24,jazz,Sting,Englishman in New York,489206,https://www.last.fm/music/Sting/_/Englishman+in+New+York
2019-04-16 22:49:16.639866_25,jazz,Christina Aguilera,Ain't No Other Man,482461,https://www.last.fm/music/Christina+Aguilera/_/Ain%27t+No+Other+Man
2019-04-16 22:49:16.864284_26,jazz,Amy Winehouse,Addicted,289784,https://www.last.fm/music/Amy+Winehouse/_/Addicted
2019-04-16 22:49:17.085120_27,jazz,Adele,Cold Shoulder,473310,https://www.last.fm/music/Adele/_/Cold+Shoulder
